Instrument,Trades,Win Rate (%),Profit Factor,Gross PnL (Rs.),Charges (Rs.),Net PnL (Rs.),Avg PnL/Trade,Max Win,Max Loss,Max Drawdown (Rs.),Robustness Score
APOLLOHOSP,2151,26.5,0.44,-1637750.0,660516.52,-2298266.52,-1068.46,10824.22,-7306.48,2302701.08,-0.998
MPHASIS,1779,32.2,0.78,-807193.75,535506.73,-1342700.48,-754.75,37583.67,-28382.84,1345785.01,-0.998
OFSS,2078,29.9,0.47,-806546.25,459350.94,-1265897.19,-609.19,4133.77,-19805.76,1267868.15,-0.998
MARUTI,2339,22.7,0.24,-1192955.0,561705.66,-1754660.66,-750.18,2332.88,-3601.48,1756722.82,-0.999
SOLARINDS,1954,24.4,0.32,-827862.5,382207.26,-1210069.76,-619.28,2579.3,-4810.95,1211750.16,-0.999
SRF,1714,31.7,0.71,-818170.0,454332.1,-1272502.1,-742.42,18522.31,-22609.99,1273743.32,-0.999
ULTRACEMCO,2304,22.6,0.26,-1103805.0,495148.29,-1598953.29,-693.99,2694.04,-2580.33,1600067.61,-0.999
BRITANNIA,2123,27.9,0.51,-1333431.25,555962.74,-1889393.99,-889.96,21124.15,-14971.16,1888658.95,-1.0
ALKEM,2227,22.9,0.37,-1108025.0,543335.85,-1651360.85,-741.52,18457.73,-6162.54,1652043.77,-1.0
COLPAL,2320,15.1,0.16,-1131828.75,504852.17,-1636680.92,-705.47,2298.71,-2018.2,1636612.3,-1.0
PAGEIND,2306,0.1,0.0,-1404204.0,612375.64,-2016579.64,-874.49,22.71,-1139.07,2015927.49,-1.0
BOSCHLTD,2329,9.0,0.03,-1449980.0,637263.58,-2087243.58,-896.2,1382.46,-1961.77,2086415.45,-1.0
SHREECEM,2343,11.6,0.02,-1369557.5,655112.43,-2024669.93,-864.14,946.01,-2147.62,2023998.2,-1.0
GODREJCP,2158,25.2,0.39,-1202350.0,516381.22,-1718731.22,-796.45,6238.62,-6556.6,1717918.63,-1.0
POWERINDIA,1918,26.8,0.29,-411405.0,263429.29,-674834.29,-351.84,1087.06,-6618.54,674385.95,-1.001
BAJAJ-AUTO,2144,27.1,0.42,-995148.75,489667.77,-1484816.52,-692.55,7049.6,-3609.61,1483374.65,-1.001
AMBER,1962,26.6,0.57,-543495.0,398221.33,-941716.33,-479.98,22323.61,-6621.34,940946.76,-1.001
DIVISLAB,2130,28.0,0.51,-1037110.0,467990.81,-1505100.81,-706.62,19983.51,-7333.83,1503193.77,-1.001
EICHERMOT,2047,28.8,0.55,-868635.0,423088.67,-1291723.67,-631.03,11758.03,-22872.94,1289945.07,-1.001
HEROMOTOCO,1944,31.1,0.64,-879045.0,508586.18,-1387631.18,-713.8,26727.9,-12232.48,1384961.92,-1.002
